LA Region Name,LAD10CD,Year,A. Industry and Commercial Electricity,B. Industry and Commercial Gas,C. Large Industrial Installations,D. Industrial and Commercial Other Fuels,E. Agricultural Combustion,Industry and Commercial Total,F. Domestic Electricity,G. Domestic Gas,H. Domestic 'Other Fuels',Domestic Total,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,N. LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t)
Broxtowe,37UD,2005,103.1,50.9,66.9,40.1,1.1,262,105.6,169.5,3.8,278.9,91.7,168.6,56,5.2,4.2,325.6,0.2,866.8,108.3,8
Gedling,37UE,2005,88.5,46.4,3,62.2,1.6,201.7,115.9,175,3.6,294.5,53.5,0,54.4,5,2.8,115.6,0.5,612.4,111.9,5.5
Mansfield,37UF,2005,150.1,43.2,0,24.9,0.8,219.1,93.6,156.6,4,254.2,70.6,0,56.6,1.1,0.7,129,-0.7,601.6,100.4,6
Newark and Sherwood,37UG,2005,219.1,163,0,75.8,10.6,468.5,119.3,148.5,10,277.8,299,0,96.7,6.5,9.7,411.9,7.2,1165.4,110.6,10.5
Rushcliffe,37UJ,2005,106.8,43.1,105.3,24.1,7.8,287.1,113.9,166,3.4,283.3,206.4,0,53.3,3.2,8.9,271.8,8.7,850.9,107.8,7.9
Nottinghamshire Total,,2005,1117.2,585.9,186.1,339.7,33.3,2262.1,771.7,1124.9,55.8,1952.4,1018.1,290.4,509.7,34.9,31.2,1884.2,38.3,6137,764.5,8
Rutland,00FP,2005,197.7,15,1000,38.1,6.1,1256.8,43.6,44,1.8,89.5,128.6,0,28.7,6.2,0.9,164.4,2.2,1512.8,36.1,41.9
East Midlands Total,,2005,7985.2,3535.7,4047.2,1960.9,277.6,17806.6,4513.1,5875.7,343.7,10732.4,5674.7,2260.6,3101.1,244.2,149.7,11430.2,285.1,40254.2,4329,9.3
Birmingham,00CN,2005,1669,853.2,89.6,188,1.1,2800.8,928,1356.5,31.1,2315.5,441.3,208.7,848.1,32.2,20.8,1551.1,8.1,6675.5,1014.7,6.6
Coventry,00CQ,2005,551.4,282.2,1.1,81.6,0.8,917.1,296.8,398.8,9.7,705.3,149.8,49.1,264.9,6.6,6.6,477.1,1.7,2101.2,298.4,7
Dudley,00CR,2005,363.4,197.5,0.6,78.2,0.5,640.1,293.5,434.9,9.4,737.7,166.3,56.7,224,2.9,5,454.9,2.5,1835.2,307,6
"Herefordshire, County of",00GA,2005,323.1,132.9,7,141.4,60.3,664.7,218.6,145.9,113.2,477.7,300.5,25.1,136.5,15.1,1.6,478.7,47.5,1668.6,176.6,9.4
Sandwell,00CS,2005,540.9,304.3,6.4,119.7,0.3,971.6,259.5,382.6,9.2,651.3,159.1,164.4,210.8,5,6.8,546.1,2.3,2171.2,290.4,7.5
Shropshire,00GG,2005,503.9,161.5,0.1,140.9,94.8,901.1,335.5,270.2,203.4,809.1,464.9,67.5,207.6,22.8,44.4,807.2,62.9,2580.3,291.5,8.9
Solihull,00CT,2005,285.6,142.6,3.1,34.6,2.6,468.5,215.6,305,10.4,531,112.4,244,228.1,12.9,20,617.3,4.9,1621.8,201.6,8
Cannock Chase,41UB,2005,107.1,52.5,0,32.9,0.9,193.4,89.5,137.6,12,239.1,65.4,17.2,40.8,2.8,3.5,129.6,0.6,562.7,94.8,5.9
East Staffordshire,41UC,2005,284.2,134.8,5.8,67.6,15.8,508.2,117.3,134.9,10.3,262.5,174.6,0,75.8,6.6,9.3,266.3,4.5,1041.4,107.6,9.7
Lichfield,41UD,2005,137.1,43.7,0,41.9,7.2,229.8,100.9,142,22,264.9,219,56.6,45.8,9.6,19,350,1.7,846.4,96.3,8.8
Newcastle-under-Lyme,41UE,2005,121.2,109.1,0,27.8,7.7,265.7,109.5,183.4,12.1,305,136.6,226.9,86.6,1.3,4.4,455.8,2.7,1029.1,123.2,8.4
South Staffordshire,41UF,2005,86.8,98.5,2.7,37,9.5,234.5,107.3,145.8,19.4,272.5,137,344.3,68.7,2.7,30.6,583.2,8.7,1098.9,106.4,10.3
Stafford,41UG,2005,183.6,88.6,0,72.3,21.3,365.8,128.7,163.3,29.7,321.8,170.9,378.2,79.5,1.9,32.5,663,10.9,1361.5,124.4,10.9
Staffordshire Moorlands,41UH,2005,172.7,81.5,694.4,71,21.8,1041.4,93.4,134.6,29.4,257.4,115.7,0,66.5,0.7,5.2,188,1.7,1488.5,95.3,15.6
Tamworth,41UK,2005,122.2,42,0,22.5,0.3,187,77.7,96.3,2.4,176.3,38.7,0,37.4,4.6,4.3,84.9,0.2,448.4,74.7,6
Staffordshire Total,,2005,1214.9,650.7,702.9,372.9,84.3,3025.7,824.4,1137.9,137.3,2099.5,1057.9,1023.3,500.9,30.1,108.7,2720.8,30.9,7877,822.7,9.6
Stoke-on-Trent,00GL,2005,401.5,286.3,44,103.5,1.6,836.8,206.6,358.1,8.8,573.5,212.3,0,127.1,4.4,11,354.9,0.7,1765.8,241.5,7.3
Telford and Wrekin,00GF,2005,364.2,140.6,85.7,80.9,5.4,676.8,142.5,201.9,14.2,358.6,130.8,34.5,165.4,4,1.3,335.9,5.8,1377.1,161.5,8.5
Walsall,00CU,2005,384.8,218,0.1,85.6,1.1,689.5,239.2,363.5,8.9,611.6,135.2,144.6,156,2.9,4.2,442.9,2,1746,258.2,6.8
North Warwickshire,44UB,2005,199.6,81.9,0,55.4,4.7,341.6,70.5,80,3.2,153.6,105.5,443.2,66.7,15.9,11.8,643,3.2,1141.4,61.9,18.4
Nuneaton and Bedworth,44UC,2005,142.1,52.6,0,23.4,0.9,218.9,123.6,163.1,3.8,290.5,57.5,49.8,109.7,8.4,9.5,234.8,0.7,745,121,6.2
Rugby,44UD,2005,260,73.6,1056,35.7,7.4,1432.7,105.7,126.5,3.3,235.5,160.5,241.6,91.3,1.6,2.8,497.8,8.1,2174,91.3,23.8
Stratford-on-Avon,44UE,2005,177.5,47.5,0,56.4,21.3,302.6,154,121,44.2,319.2,197.5,241.3,120.1,18.6,9.6,587.1,26.7,1235.6,114.8,10.8
Warwick,44UF,2005,290.4,71.4,0,48.5,4.9,415.2,148.8,175.9,8.4,333.1,172.9,197.4,108.5,18.9,13.5,511.1,5.7,1265.1,134.6,9.4
Warwickshire Total,,2005,1069.5,326.9,1056.1,219.4,39.1,2710.9,602.6,666.5,62.9,1331.9,694,1173.2,496.3,63.3,47.1,2473.8,44.5,6561.1,523.6,12.5
Wolverhampton,00CW,2005,387.8,214.5,0.3,57.9,0.3,660.8,226.5,337,7.4,570.9,123.4,0,181.9,2.2,9.2,316.7,1.8,1550.1,241.6,6.4
Bromsgrove,47UB,2005,73.1,37.2,0,25.9,5,141.3,96,139.6,11.2,246.8,125.9,314.8,54.5,10.9,7.5,513.7,8.4,910.2,91,10
Malvern Hills,47UC,2005,53,22.4,0,35.7,15.8,126.7,93.5,69.3,47.8,210.6,79.6,152.2,91.6,1.5,12.8,337.7,16.5,691.5,73.4,9.4
Redditch,47UD,2005,144.6,55.1,9,45.9,1,255.5,74.6,107.4,4.2,186.2,44,0,54.4,0,1,99.4,1.7,542.9,80.1,6.8
Worcester,47UE,2005,186.3,56.3,0.4,31.2,0.4,274.5,92.9,121.1,15.1,229.1,50.5,1.6,56.2,0.8,4.2,113.3,1.1,617.9,94.5,6.5
Wychavon,47UF,2005,192.1,134.4,1.8,102.8,14.4,445.4,138.8,120.2,42.8,301.8,176.8,296.1,96,10.9,11.8,591.6,22.1,1360.9,114.7,11.9
Wyre Forest,47UG,2005,134.8,47,0,72.9,3.7,258.3,100.5,127.6,21.4,249.6,93.5,0,59,0.7,7.4,160.5,5.5,673.9,97.6,6.9
Worcestershire Total,,2005,783.8,352.4,11.2,314.3,40.1,1501.8,596.3,685.4,142.4,1424.1,570.2,764.8,411.6,24.8,44.7,1816.1,55.2,4797.2,551.3,8.7
West Midlands Total,,2005,8843.8,4263.2,2008.1,2018.7,332.3,17466.1,5385.6,7044,768.2,13197.7,4718.1,3955.6,4159.1,229.3,331.3,13393.4,270.6,44327.9,5380.6,8.2
Bedford,00KB,2005,234.9,70.2,58.1,43,6.6,412.8,158.1,183,11.9,353.1,183.7,0,96.8,30.1,5.7,316.3,5.9,1088,151.7,7.2
Central Bedfordshire,00KC,2005,297.4,86.3,0,86.5,10,480.2,268.1,306.2,16.6,590.9,295.3,333,155.7,12.7,3.8,800.4,3.1,1874.7,242.1,7.7
Bedfordshire Total,,2005,532.3,156.4,58.1,129.6,16.6,892.9,426.3,489.2,28.5,944,479.1,333,252.4,42.8,9.5,1116.7,9.1,2962.7,393.8,7.5
Cambridge,12UB,2005,271.2,131.2,1.8,21,0.3,425.7,102.7,138.2,3.4,244.3,55.1,11,48.8,0.3,2.3,117.5,0.1,787.6,117.2,6.7
East Cambridgeshire,12UC,2005,107.5,37.6,0,55.7,7.3,208.1,93.4,73.1,19.5,186,196.7,0,67.4,8.9,9.4,282.5,167.8,844.3,77.2,10.9
Fenland,12UD,2005,184.5,130.8,135.6,69.7,6.3,526.8,106.3,103.8,17.1,227.2,91.8,0,101.8,7.3,5.8,206.6,157.1,1117.7,89,12.6
Huntingdonshire,12UE,2005,371.9,79.6,0.6,89.1,9.9,551.1,180.3,189.4,26.4,396,423.9,152.3,150.6,2.3,13.4,742.4,132.1,1821.7,162.8,11.2
South Cambridgeshire,12UG,2005,267.3,99.4,295.8,105.2,11.2,778.9,166.3,129.7,42,338,422.7,135.9,82.5,5.6,9.4,656.1,14.8,1787.8,137.4,13
Cambridgeshire Total,,2005,1202.3,478.7,433.9,340.7,35,2490.6,649,634.1,108.4,1391.4,1190.2,299.2,451,24.5,40.3,2005.1,471.9,6359,583.6,10.9
Basildon,22UB,2005,283.9,93.9,0.1,56.8,1.5,436.1,184,221.7,5.4,411.1,187.5,0,124.3,0,1.7,313.5,-0.3,1160.4,168.9,6.9
Braintree,22UC,2005,177.2,55.3,0.2,83.9,7.3,323.9,163.3,147.4,26.6,337.3,224.8,0,148.3,0.7,1.8,375.6,-6.7,1030.1,139.2,7.4
Brentwood,22UD,2005,89.7,30.7,0,20.4,1.9,142.7,83.5,116.3,2.2,202,166,57.1,62.7,0.5,1.2,287.5,0,632.2,70.5,9
Castle Point,22UE,2005,50.5,17.6,0,15,0.6,83.7,96.2,133.3,2.8,232.3,48.6,0,69.5,0,1,119,0.2,435.2,87.5,5
Chelmsford,22UF,2005,213.7,62.3,0,76.5,4.5,356.9,190.1,194,18.5,402.6,270.3,0,115.1,0.6,1.8,387.8,-3.2,1144.1,163.6,7
Colchester,22UG,2005,232.9,74.6,0.1,52.5,4,364,175.2,188.1,20.3,383.5,223.3,0,145.3,0.8,1.8,371.2,-2.2,1116.5,162,6.9
Epping Forest,22UH,2005,120.5,115.7,0,21.9,3.7,261.8,148.9,177.7,12.1,338.7,87,434.4,113,0,2,636.4,-1.8,1235.1,121.7,10.1
Harlow,22UJ,2005,196.5,79.1,66.2,34.9,0.3,376.9,75.8,103.5,2.4,181.7,43.1,20,47.2,0.1,0.7,111,-0.2,669.4,78.4,8.5
Maldon,22UK,2005,107.8,20.4,0,27.6,5.3,161.1,79,53.3,26,158.4,12.4,0,72,0,0.7,85,0.9,405.4,60.7,6.7
Rochford,22UL,2005,82.3,20.6,0,19.1,2.7,124.6,88.1,119.6,3.2,210.9,39.6,0,63.7,0,3.6,106.9,2.5,444.8,80.8,5.5
Tendring,22UN,2005,136.7,48.3,0,28,3.9,217,166.1,178.7,12.4,357.2,95,0,164.3,0.4,1.2,260.8,1.5,836.5,140.3,6
Uttlesford,22UQ,2005,125.7,42,0,33.5,7.3,208.5,93,76.3,17.8,187.1,76,246.2,130.3,11.3,30.9,494.7,-8.8,881.5,71.6,12.3
Essex Total,,2005,1817.2,660.5,66.6,470,42.9,3057.2,1543.2,1709.7,149.8,3402.7,1473.6,757.6,1255.6,14.4,48.3,3549.5,-18.3,9991.2,1345.2,7.4
Broxbourne,26UB,2005,109.1,43.4,0,23.2,0.6,176.3,97.9,115.3,2.8,216,72.6,0,57.4,0.1,0.7,130.8,-1.7,521.4,88.8,5.9
Dacorum,26UC,2005,193.9,113.6,0,24.9,3.3,335.6,149.1,199.5,6.8,355.4,135.2,56.9,103.4,1,1.1,297.5,2,990.5,138.6,7.1
East Hertfordshire,26UD,2005,185.8,66.6,5.5,55.7,6.6,320.3,162.3,166.9,10.3,339.5,177.3,0,120.3,0.2,1.3,299.1,-7.6,951.3,131.1,7.3
Hertsmere,26UE,2005,164.1,66.4,0,17.7,1.3,249.4,106.4,147.2,3.1,256.7,84.1,229,82.2,0.5,1.3,397,0.5,903.6,94.3,9.6
North Hertfordshire,26UF,2005,155,68.4,0,42.3,5.8,271.5,132.9,158.4,12.5,303.9,104.4,82.2,114.6,1.3,1.2,303.7,-1.3,877.8,120.8,7.3
St. Albans,26UG,2005,150.3,70.2,0,18.7,2.1,241.3,144.4,207.9,4.2,356.5,112.5,314.6,102,0.5,2.1,531.6,-0.3,1129.1,132,8.6
Stevenage,26UH,2005,174.7,67.3,1.6,16.1,0.2,259.8,75.3,102.2,3.4,180.9,47.3,43.5,48.5,2.3,0.9,142.5,-0.1,583,80.3,7.3
Three Rivers,26UJ,2005,101.3,35.7,0,13,1.5,151.4,93.9,132.2,2.7,228.8,54.4,214.7,72.3,0.2,1.6,343.1,0.6,724,84.3,8.6
Watford,26UK,2005,167.4,39.1,0,13.7,0.1,220.3,82.8,117.2,2.5,202.5,57.6,11.1,41.3,0.2,1.1,111.3,0.2,534.2,82.1,6.5
Welwyn Hatfield,26UL,2005,206.1,78.7,0,36.4,1.6,322.8,106,143.6,3.5,253.1,66.5,125,95.3,7.7,1.6,296.1,-3.8,868.2,103.2,8.4
Hertfordshire Total,,2005,1607.6,649.2,7.1,261.8,23.1,2548.7,1150.9,1490.4,51.8,2693,911.9,1076.9,837.3,13.9,12.7,2852.7,-11.5,8082.9,1055.5,7.7
Luton,00KA,2005,264.6,107.3,0,38,0.4,410.2,168.5,247.4,5.7,421.6,52.9,35.2,113.8,6.4,18,226.2,0.1,1058,185.4,5.7
Breckland,33UB,2005,193.6,45.4,0,59.7,13.3,312,156.2,94.3,56.8,307.3,265,0,150.3,2.8,1.4,419.5,-42.6,996.2,125.5,7.9
Broadland,33UC,2005,108.8,30.3,160.7,68.8,7.1,375.6,138.1,140,25.1,303.2,136.8,0,98.6,1.4,26.5,263.2,-9.3,932.6,121.6,7.7
Great Yarmouth,33UD,2005,121.8,32.5,0,20.7,2.7,177.8,110.5,92,29.7,232.2,69.1,0,60.3,0.4,20.4,150.1,1.2,561.2,94.1,6
King's Lynn and West Norfolk,33UE,2005,270.9,331.8,14.9,61.1,17,695.6,200.1,104.5,77.3,381.9,258.6,0,163.2,0.1,10.8,432.7,172.6,1682.8,141,11.9
North Norfolk,33UF,2005,167.2,48.2,0.8,56,12.7,284.8,147,80.6,56.9,284.4,99.4,0,120.7,0.9,24.8,245.9,-15.9,799.3,99.6,8
Norwich,33UG,2005,284.4,111.3,0,35.1,0.3,431.2,115.1,167.1,3.6,285.8,76.5,0,66.4,3.6,10,156.4,-0.4,873,125.6,7
South Norfolk,33UH,2005,158,45.1,0.1,83.5,12.8,299.4,147.9,82.9,61.9,292.7,273,0,124.5,4.8,27.1,429.3,-9.5,1012,115.4,8.8
Norfolk Total,,2005,1304.8,644.5,176.4,384.9,65.9,2576.4,1014.8,761.4,311.3,2087.5,1178.5,0,784,13.8,120.9,2097.1,96.1,6857.1,822.8,8.3
Peterborough,00JA,2005,360.2,100.2,0,48.7,3.2,512.2,161.8,212.9,12.7,387.4,278.6,0,165,6.9,7.9,458.5,4.4,1362.4,167.2,8.1
Southend-on-Sea,00KF,2005,200.3,61.8,2.8,40.3,0.3,305.5,186.3,261.1,4.8,452.2,68.2,0,93.1,15.3,3.9,180.4,0.8,938.9,162.6,5.8
Babergh,42UB,2005,125.8,35.6,0,67.2,6.9,235.5,109.2,75.3,34,218.5,192.1,0,61.9,0.6,0.9,255.5,-3.3,706.2,86,8.2
Forest Heath,42UC,2005,159.1,25.5,0,24.9,3,212.4,77.2,48,27.2,152.5,174.4,0,29.3,2.3,1.3,207.3,38.6,610.8,58.1,10.5
Ipswich,42UD,2005,225.6,55.3,6.2,26.4,0.2,313.7,128.1,150,3.5,281.6,81.9,0,46.9,2.8,1.1,132.6,0,727.8,124,5.9
Mid Suffolk,42UE,2005,155.3,41.5,1.6,41.5,10,249.8,122.3,51.1,57.3,230.7,218.1,0,82,3.8,1,304.9,-3,782.4,90.8,8.6
St. Edmundsbury,42UF,2005,205.4,252.8,230.2,60.5,6.5,755.4,118.4,99,30.9,248.3,208.4,0,66,4.4,1.6,280.3,-11.3,1272.7,103.3,12.3
Suffolk Coastal,42UG,2005,167.1,43.2,0.1,35.7,9.7,255.8,159.7,126,36.5,322.2,180.9,0,104.5,6.3,1.2,292.8,-22.1,848.7,119.6,7.1
Waveney,42UH,2005,218,50.8,0,79.7,4.4,352.9,130.2,136.6,9.7,276.5,86.1,0,74.6,0.9,10,171.6,-3.6,797.4,116,6.9
Suffolk Total,,2005,1256.3,504.6,238,335.8,40.7,2375.4,845.1,685.9,199.1,1730.1,1141.7,0,465.2,21,17.1,1645.1,-4.7,5745.9,697.8,8.2
Thurrock,00KG,2005,430.5,547.3,69.5,60.8,1.9,1110,161.7,170.8,4.6,337.1,224.8,105.3,111.3,0.7,1.7,443.8,-0.5,1890.4,148.6,12.7
East of England Total,,2005,8976,3910.4,1052.2,2110.6,230,16279.2,6307.6,6662.7,876.7,13847.1,6999.3,2607.1,4528.8,159.7,280.1,14574.9,547.4,45248.5,5562.5,8.1
Barking and Dagenham,00AB,2005,250.1,60.8,53.4,30.4,0.2,394.9,158.9,185,5.1,349,126,0,40.5,10.2,1,177.7,0.4,922.1,166.3,5.5
Barnet,00AC,2005,289.6,150.9,0,17.4,0.5,458.4,357,509.3,10.2,876.5,263.1,62.1,88.1,0.8,2,416,2.8,1753.7,327.5,5.4
Bexley,00AD,2005,232.1,167.2,19.7,33.1,0.3,452.4,221.6,307.6,7.3,536.5,182.7,0,68.8,0.5,1.2,253.1,2.7,1244.8,222.4,5.6
Brent,00AE,2005,395.5,119.4,0,29.2,0.2,544.4,241.5,374.1,8.7,624.3,154.7,0,92.2,5,1.1,252.9,0.9,1422.4,270.9,5.3
Bromley,00AF,2005,249.6,106,0,23.3,1.4,380.2,320.7,486.6,9.4,816.7,184.2,0.1,151.9,7.5,11.3,355,4.9,1556.8,299.4,5.2
Camden,00AG,2005,754.6,301.2,3.2,10.8,0,1069.9,194.7,231.1,5.6,431.4,107.3,0,59.7,1.4,0.8,169.1,0.7,1671.1,211.1,7.9
City of London,00AA,2005,1352.2,176.5,0.7,5.4,0,1534.8,13.4,6.9,0.4,20.7,44.6,0,20.4,0,0.6,65.5,0.1,1621.1,7.1,228.3
Croydon,00AH,2005,390.4,167.1,0,19.2,0.6,577.3,334.5,492.2,11.1,837.8,171,0,162.3,1.2,1.5,336,2.3,1753.3,339.1,5.2
Ealing,00AJ,2005,419.2,157.6,0,41.3,0.3,618.3,275.6,406.9,8.6,691,232.8,0,114,7.5,1.7,356,0.7,1666,312.8,5.3
Enfield,00AK,2005,300.5,136.2,8.4,31.6,0.7,477.4,297.1,377.7,8.5,683.3,215.5,141.1,69.3,0.3,1.7,427.8,2.4,1590.9,284.8,5.6
Greenwich,00AL,2005,220.4,192.3,2.1,14.2,0.2,429.2,208.8,285.8,6.6,501.1,213.3,0,99.2,0.1,1.5,314,1.9,1246.3,230.5,5.4
Hackney,00AM,2005,223.5,67.8,0,9.2,0,300.5,181.1,247.2,6.2,434.5,109.1,0,61.6,0.2,0.9,171.8,0.6,907.3,216.5,4.2
Hammersmith and Fulham,00AN,2005,360.3,126.6,11,12.5,0.1,510.5,158.4,220.8,5.8,385,138.4,0,45.3,1.7,0.9,186.3,0.5,1082.4,173.3,6.2
Haringey,00AP,2005,197.4,83.3,0,16.8,0.1,297.6,219.8,320.9,7.2,547.9,107.4,0,82.4,1.1,1.5,192.3,0.9,1038.7,229.3,4.5
Harrow,00AQ,2005,153.2,130.4,0.7,16.8,0.3,301.4,206.6,327.6,6.8,540.9,83.9,8.6,70.3,0.8,1.4,165,0.6,1007.9,221.1,4.6
Havering,00AR,2005,220.8,65,5.7,25,1.1,317.6,239.8,333.2,7.4,580.3,165.3,149.2,107.5,0.6,1.3,424,1.4,1323.3,227,5.8
Hillingdon,00AS,2005,689.7,321.7,13.5,44.4,1.2,1070.4,243,340,8.6,591.6,223.4,125.4,207.6,7.4,70.6,634.3,1.2,2297.5,251.4,9.1
Hounslow,00AT,2005,491.8,163.9,3.1,21.9,0.3,681.1,209.7,278.8,7.2,495.7,214.3,82.9,117.4,0.7,1.7,416.8,0.4,1594,223.8,7.1
Islington,00AU,2005,479,133.4,0,13.1,0,625.4,169.5,234.1,6.1,409.6,87.4,0,53.8,0.5,0.8,142.5,0.5,1178,183.5,6.4
Kensington and Chelsea,00AW,2005,579.1,200.2,0.1,3.7,0,783.2,203.9,210.6,4.7,419.2,117.7,0,56.5,1.1,1.1,176.3,0.4,1379.1,168.4,8.2
Kingston upon Thames,00AX,2005,181.2,57.7,0,12,0.3,251.2,154.7,213.8,4.5,373,149.3,0,90,0.5,2.4,242.2,0.6,867.1,152.5,5.7
Lambeth,00AY,2005,351.5,162.7,0.3,7.4,0,521.9,246.5,354.7,8.4,609.6,162.5,0,107,0.5,2.2,272.1,0.8,1404.4,277.6,5.1
Lewisham,00AZ,2005,225.8,78.7,0,9.3,0.1,313.9,235.2,338.4,8.4,581.9,123.9,0,135.2,0.6,1.3,261,1.3,1158.1,254.9,4.5
Merton,00BA,2005,191.3,83.4,0,20,0.3,295,177.9,255.9,6.5,440.3,94.8,0,75.8,0.5,1.2,172.3,1.2,908.8,190.6,4.8
Newham,00BB,2005,368.8,253.2,2.6,17.7,0.1,642.4,195.5,274,7.8,477.3,215,0,74.4,0.7,14.4,304.5,0.6,1424.7,253.8,5.6
Redbridge,00BC,2005,164.5,65.6,2.9,12.7,0.3,246,227.2,342.4,8,577.7,199.5,21.8,57.8,0.2,1.6,280.9,0.9,1105.4,251.6,4.4
Richmond upon Thames,00BD,2005,221.3,95.4,0,15.3,0.3,332.3,192.3,285,6.2,483.5,133.3,0,88.7,0,5.9,228,0.7,1044.4,181.5,5.8
